Date,Price,Open,High,Low,Vol.,Change %,,Time,
2019/7/24,"2,217.75","2,209.94","2,217.75","2,206.11",-,0.37%,,2019/5/27,2096.43
2019/7/25,"2,206.92","2,217.19","2,220.86","2,202.88",-,-0.49%,,2019/5/28,2084.57
2019/7/26,"2,215.71","2,205.03","2,216.79","2,203.71",-,0.40%,,2019/5/29,2064.8
2019/7/29,"2,212.50","2,215.42","2,217.56","2,209.84",-,-0.14%,,2019/5/30,2066.48
2019/7/30,"2,203.40","2,213.32","2,214.14","2,197.73",-,-0.41%,,2019/5/31,2046.25
2019/7/31,"2,187.56","2,202.91","2,205.10","2,172.85",-,-0.72%,,2019/6/1,#N/A
2019/8/1,"2,173.18","2,182.62","2,201.77","2,171.25",-,-0.66%,,2019/6/2,#N/A
2019/8/2,"2,149.99","2,172.77","2,172.89","2,140.58",-,-1.07%,,2019/6/3,2045.06
2019/8/5,"2,097.32","2,149.01","2,149.69","2,087.38",-,-2.45%,,2019/6/4,2077.66
2019/8/6,"2,109.20","2,098.47","2,109.98","2,092.80",-,0.57%,,2019/6/5,2095.83
2019/8/7,"2,114.05","2,109.18","2,116.91","2,083.92",-,0.23%,,2019/6/6,2104.18
2019/8/8,"2,146.91","2,112.79","2,147.89","2,112.06",-,1.55%,,2019/6/7,2126.88
2019/8/9,"2,135.34","2,148.68","2,149.42","2,127.82",-,-0.54%,,2019/6/8,#N/A
2019/8/12,"2,117.73","2,135.35","2,139.14","2,112.91",-,-0.82%,,2019/6/9,#N/A
2019/8/13,"2,134.54","2,116.28","2,143.94","2,108.50",-,0.79%,,2019/6/10,2135.51
2019/8/14,"2,086.26","2,135.53","2,136.40","2,085.05",-,-2.26%,,2019/6/11,2139.74
2019/8/15,"2,082.84","2,084.34","2,087.99","2,073.22",-,-0.16%,,2019/6/12,2134.42
2019/8/16,"2,108.50","2,082.11","2,110.88","2,081.82",-,1.23%,,2019/6/13,2136.96
2019/8/19,"2,131.81","2,109.77","2,135.00","2,109.46",-,1.11%,,2019/6/14,2130.95
2019/8/20,"2,119.57","2,131.37","2,134.39","2,119.57",-,-0.57%,,2019/6/15,#N/A
2019/8/21,"2,135.52","2,118.44","2,137.87","2,117.63",-,0.75%,,2019/6/16,#N/A
2019/8/22,"2,131.68","2,135.49","2,141.50","2,122.58",-,-0.18%,,2019/6/17,2130.86
2019/8/23,"2,094.63","2,131.54","2,137.20","2,091.58",-,-1.74%,,2019/6/18,2150.91
2019/8/26,"2,105.22","2,095.54","2,105.30","2,088.74",-,0.51%,,2019/6/19,2161.6
2019/8/27,"2,104.85","2,106.40","2,119.75","2,101.09",-,-0.02%,,2019/6/20,2183.36
2019/8/28,"2,111.92","2,104.69","2,112.35","2,093.78",-,0.34%,,2019/6/21,2178.16
2019/8/29,"2,133.08","2,112.04","2,134.92","2,110.78",-,1.00%,,2019/6/22,#N/A
2019/8/30,"2,138.52","2,134.12","2,147.21","2,130.66",-,0.26%,,2019/6/23,#N/A
2019/9/2,"2,136.58","2,137.10","2,137.91","2,135.84",-,-0.09%,,2019/6/24,2178.17
2019/9/3,"2,126.92","2,136.13","2,136.31","2,119.08",-,-0.45%,,2019/6/25,2163.73
2019/9/4,"2,149.80","2,126.74","2,150.59","2,125.92",-,1.08%,,2019/6/26,2158.41
2019/9/5,"2,174.27","2,151.56","2,179.86","2,151.46",-,1.14%,,2019/6/27,2166.48
2019/9/6,"2,178.90","2,174.88","2,181.29","2,174.75",-,0.21%,,2019/6/28,2178.35
2019/9/9,"2,178.41","2,177.68","2,183.82","2,174.86",-,-0.02%,,2019/6/29,#N/A
2019/9/10,"2,179.43","2,178.22","2,179.43","2,166.64",-,0.05%,,2019/6/30,#N/A
2019/9/11,"2,194.42","2,179.56","2,194.50","2,179.56",-,0.69%,,2019/7/1,2192.24
2019/9/12,"2,201.81","2,195.26","2,208.16","2,195.09",-,0.34%,,2019/7/2,2198.55
2019/9/13,"2,205.81","2,202.11","2,211.21","2,201.94",-,0.18%,,2019/7/3,2213.35
2019/9/16,"2,195.88","2,206.79","2,207.05","2,193.22",-,-0.45%,,2019/7/4,2215.17
2019/9/17,"2,201.77","2,195.58","2,203.03","2,193.19",-,0.27%,,2019/7/5,2205.57
2019/9/18,"2,201.02","2,202.95","2,202.95","2,185.64",-,-0.03%,,2019/7/6,#N/A
2019/9/19,"2,204.67","2,200.19","2,211.52","2,200.19",-,0.17%,,2019/7/7,#N/A
2019/9/20,"2,197.55","2,205.39","2,209.32","2,195.02",-,-0.32%,,2019/7/8,2194.62
2019/9/23,"2,193.74","2,197.88","2,198.29","2,188.74",-,-0.17%,,2019/7/9,2193.65
2019/9/24,"2,182.07","2,193.74","2,202.85","2,179.35",-,-0.53%,,2019/7/10,2201.14
2019/9/25,"2,184.56","2,182.21","2,185.96","2,168.02",-,0.11%,,2019/7/11,2205.35
2019/9/26,"2,183.46","2,185.46","2,188.48","2,176.83",-,-0.05%,,2019/7/12,2212.65
2019/9/27,"2,175.54","2,181.37","2,186.72","2,167.89",-,-0.36%,,2019/7/13,#N/A
2019/9/30,"2,180.02","2,175.69","2,183.02","2,171.70",-,0.21%,,2019/7/14,#N/A
2019/10/1,"2,158.47","2,180.50","2,185.82","2,158.47",-,-0.99%,,2019/7/15,2214.34
2019/10/2,"2,121.47","2,160.07","2,160.35","2,115.92",-,-1.71%,,2019/7/16,2208.09
2019/10/3,"2,131.36","2,121.98","2,131.36","2,102.44",-,0.47%,,2019/7/17,2197.94
2019/10/4,"2,153.83","2,129.97","2,155.04","2,129.53",-,1.05%,,2019/7/18,2198.4
2019/10/7,"2,151.82","2,154.46","2,159.92","2,148.68",-,-0.09%,,2019/7/19,2194.61
2019/10/8,"2,124.15","2,150.29","2,153.22","2,124.00",-,-1.29%,,2019/7/20,#N/A
2019/10/9,"2,137.62","2,124.27","2,141.63","2,121.99",-,0.63%,,2019/7/21,#N/A
2019/10/10,"2,150.16","2,138.25","2,155.75","2,135.98",-,0.59%,,2019/7/22,2197.67
2019/10/11,"2,179.33","2,151.48","2,190.08","2,151.48",-,1.36%,,2019/7/23,2209.59
2019/10/14,"2,175.28","2,179.04","2,179.85","2,172.72",-,-0.19%,,2019/7/24,2217.75
2019/10/15,"2,196.61","2,175.56","2,201.11","2,175.35",-,0.98%,,2019/7/25,2206.92
2019/10/16,"2,195.35","2,196.33","2,199.97","2,192.77",-,-0.06%,,2019/7/26,2215.71
2019/10/17,"2,201.92","2,196.10","2,208.75","2,194.10",-,0.30%,,2019/7/27,#N/A
2019/10/18,"2,195.28","2,202.59","2,203.12","2,190.94",-,-0.30%,,2019/7/28,#N/A
2019/10/21,"2,209.34","2,196.14","2,209.60","2,195.57",-,0.64%,,2019/7/29,2212.5
2019/10/22,"2,204.29","2,209.27","2,213.97","2,203.93",-,-0.23%,,2019/7/30,2203.4
2019/10/23,"2,208.28","2,204.11","2,209.22","2,201.32",-,0.18%,,2019/7/31,2187.56
2019/10/24,"2,215.64","2,209.22","2,218.79","2,209.22",-,0.33%,,2019/8/1,2173.18
2019/10/25,"2,222.75","2,215.76","2,224.43","2,211.53",-,0.32%,,2019/8/2,2149.99
2019/10/28,"2,231.40","2,222.21","2,234.51","2,221.92",-,0.39%,,2019/8/3,#N/A
2019/10/29,"2,232.45","2,231.75","2,236.64","2,228.88",-,0.05%,,2019/8/4,#N/A
2019/10/30,"2,237.31","2,231.83","2,240.15","2,226.07",-,0.22%,,2019/8/5,2097.32
2019/10/31,"2,233.53","2,238.81","2,241.21","2,226.09",-,-0.17%,,2019/8/6,2109.2
2019/11/1,"2,252.07","2,232.03","2,252.07","2,231.82",-,0.83%,,2019/8/7,2114.05
2019/11/4,"2,261.45","2,251.78","2,265.29","2,251.54",-,0.42%,,2019/8/8,2146.91
2019/11/5,"2,259.26","2,259.88","2,264.49","2,257.30",-,-0.10%,,2019/8/9,2135.34
2019/11/6,"2,261.37","2,260.10","2,261.83","2,256.19",-,0.09%,,2019/8/10,#N/A
2019/11/7,"2,266.69","2,261.01","2,273.18","2,260.98",-,0.24%,,2019/8/11,#N/A
2019/11/8,"2,268.83","2,266.83","2,268.83","2,258.63",-,0.09%,,2019/8/12,2117.73
2019/11/11,"2,266.36","2,268.45","2,269.75","2,259.76",-,-0.11%,,2019/8/13,2134.54
2019/11/12,"2,270.01","2,265.85","2,275.34","2,264.78",-,0.16%,,2019/8/14,2086.26
2019/11/13,"2,268.33","2,270.39","2,270.55","2,259.81",-,-0.07%,,2019/8/15,2082.84
2019/11/14,"2,265.29","2,268.23","2,268.44","2,260.68",-,-0.13%,,2019/8/16,2108.5
2019/11/15,"2,282.80","2,266.54","2,282.80","2,266.37",-,0.77%,,2019/8/17,#N/A
2019/11/18,"2,285.76","2,282.81","2,286.36","2,278.96",-,0.13%,,2019/8/18,#N/A
