Date,Value
2019/11/14,18046200
2019/11/15,18049462.5
2019/11/16,18051425
2019/11/17,18051725
2019/11/18,18054762.5
2019/11/19,18056975
2019/11/20,18057250
2019/11/21,18060125
2019/11/22,18061850
2019/11/23,18062787.5
2019/11/24,18065650
2019/11/25,18067300
2019/11/26,18068312.5
2019/11/27,18070375
2019/11/28,18072575
2019/11/29,18073850
2019/11/30,18075850
2019/12/1,18077425
2019/12/2,18079387.5
2019/12/3,18081412.5
2019/12/4,18083400
2019/12/5,18084900
2019/12/6,18087287.5
2019/12/7,18089125
2019/12/8,18090425
2019/12/9,18092887.5
2019/12/10,18094737.5
2019/12/11,18095925
2019/12/12,18097800
2019/12/13,18099912.5
2019/12/14,18101437.5
2019/12/15,18103250
2019/12/16,18105250
2019/12/17,18106962.5
2019/12/18,18108537.5
2019/12/19,18110662.5
2019/12/20,18112500
2019/12/21,18114987.5
2019/12/22,18116750
2019/12/23,18118012.5
2019/12/24,18120212.5
2019/12/25,18121775
2019/12/26,18123550
2019/12/27,18125925
2019/12/28,18127712.5
2019/12/29,18129075
2019/12/30,18131512.5
2019/12/31,18133587.5
2020/1/1,18134600
2020/1/2,18137575
2020/1/3,18139362.5
2020/1/4,18140125
2020/1/5,18143562.5
2020/1/6,18145150
2020/1/7,18145662.5
2020/1/8,18149475
2020/1/9,18151162.5
2020/1/10,18153237.5
2020/1/11,18155087.5
2020/1/12,18156700
2020/1/13,18159000
2020/1/14,18160787.5
2020/1/15,18162212.5
2020/1/16,18164487.5
2020/1/17,18166475
2020/1/18,18167712.5
2020/1/19,18170125
2020/1/20,18172075
2020/1/21,18173850
2020/1/22,18174600
2020/1/23,18177750
2020/1/24,18179762.5
2020/1/25,18180137.5
2020/1/26,18183700
2020/1/27,18185037.5
2020/1/28,18185650
2020/1/29,18188862.5
2020/1/30,18190887.5
2020/1/31,18191175
2020/2/1,18194612.5
2020/2/2,18196500
2020/2/3,18196675
2020/2/4,18200037.5
2020/2/5,18202237.5
2020/2/6,18202187.5
2020/2/7,18205112.5
2020/2/8,18206875
2020/2/9,18207725
2020/2/10,18210400
2020/2/11,18212162.5
2020/2/12,18213262.5
2020/2/13,18215662.5
2020/2/14,18217425
2020/2/15,18218775
2020/2/16,18220925
2020/2/17,18223137.5
2020/2/18,18224312.5
2020/2/19,18226662.5
2020/2/20,18228412.5
2020/2/21,18229825
2020/2/22,18231912.5
2020/2/23,18233662.5
2020/2/24,18235325
2020/2/25,18237187.5
2020/2/26,18238937.5
2020/2/27,18240850
2020/2/28,18242875
2020/2/29,18247000
2020/3/1,18246350
2020/3/2,18249200
2020/3/3,18250612.5
2020/3/4,18251875
2020/3/5,18254612.5
2020/3/6,18256662.5
2020/3/7,18257412.5
2020/3/8,18260562.5
2020/3/9,18262525
2020/3/10,18262925
2020/3/11,18265612.5
2020/3/12,18267562.5
2020/3/13,18268462.5
2020/3/14,18270550
2020/3/15,18272150
2020/3/16,18273650
2020/3/17,18273987.5
2020/3/18,18276225
2020/3/19,18277912.5
2020/3/20,18279262.5
2020/3/21,18279500
2020/3/22,18282162.5
2020/3/23,18283475
2020/3/24,18285000
2020/3/25,18286475
2020/3/26,18288562.5
2020/3/27,18290525
2020/3/28,18291925
2020/3/29,18294125
2020/3/30,18295875
2020/3/31,18296062.5
2020/4/1,18299837.5
2020/4/2,18301587.5
2020/4/3,18303337.5
2020/4/4,18305100
2020/4/5,18307100
2020/4/6,18309037.5
2020/4/7,18311237.5
2020/4/8,18312612.5
2020/4/9,18314800
2020/4/10,18316987.5
2020/4/11,18318750
2020/4/12,18320937.5
2020/4/13,18322700
2020/4/14,18324887.5
2020/4/15,18327075
2020/4/16,18328825
2020/4/17,18330587.5
2020/4/18,18332775
2020/4/19,18334525
2020/4/20,18336275
2020/4/21,18338500
2020/4/22,18339812.5
2020/4/23,18341562.5
2020/4/24,18343762.5
2020/4/25,18345075
2020/4/26,18346837.5
2020/4/27,18348600
2020/4/28,18350787.5
2020/4/29,18352550
2020/4/30,18354337.5
2020/5/1,18356137.5
2020/5/2,18357887.5
2020/5/3,18360087.5
2020/5/4,18361837.5
2020/5/5,18364025
2020/5/6,18365825
2020/5/7,18367575
2020/5/8,18369337.5
2020/5/9,18371087.5
2020/5/10,18373287.5
2020/5/11,18375031.25
2020/5/12,18375906.25
2020/5/13,18376787.5
2020/5/14,18377443.75
2020/5/15,18378100
2020/5/16,18378975
2020/5/17,18379631.25
2020/5/18,18380525
2020/5/19,18381187.5
2020/5/20,18381843.75
2020/5/21,18382718.75
2020/5/22,18383375
2020/5/23,18384031.25
2020/5/24,18384906.25
2020/5/25,18385562.5
2020/5/26,18386437.5
2020/5/27,18387337.5
2020/5/28,18387993.75
2020/5/29,18388875
2020/5/30,18389750
2020/5/31,18390843.75
2020/6/1,18391725
2020/6/2,18392381.25
2020/6/3,18393256.25
2020/6/4,18394131.25
2020/6/5,18395450
2020/6/6,18396562.5
2020/6/7,18397656.25
2020/6/8,18398537.5
2020/6/9,18399637.5
2020/6/10,18400512.5
2020/6/11,18401825
2020/6/12,18402700
2020/6/13,18403800
2020/6/14,18404906.25
2020/6/15,18405781.25
2020/6/16,18406668.75
2020/6/17,18407550
2020/6/18,18408206.25
2020/6/19,18409081.25
2020/6/20,18409956.25
2020/6/21,18410837.5
2020/6/22,18411725
2020/6/23,18412818.75
2020/6/24,18413693.75
2020/6/25,18414568.75
2020/6/26,18415675
2020/6/27,18416550
2020/6/28,18417425
2020/6/29,18418300
2020/6/30,18419175
2020/7/1,18420281.25
2020/7/2,18421156.25
2020/7/3,18422256.25
2020/7/4,18423350
2020/7/5,18424225
2020/7/6,18425331.25
2020/7/7,18426212.5
2020/7/8,18427087.5
2020/7/9,18428193.75
2020/7/10,18429293.75
2020/7/11,18430168.75
2020/7/12,18431043.75
2020/7/13,18432137.5
2020/7/14,18433018.75
2020/7/15,18433893.75
2020/7/16,18434768.75
2020/7/17,18435425
2020/7/18,18436306.25
2020/7/19,18436968.75
2020/7/20,18437843.75
2020/7/21,18438718.75
2020/7/22,18439593.75
2020/7/23,18440468.75
2020/7/24,18441562.5
2020/7/25,18442443.75
2020/7/26,18443325
2020/7/27,18444206.25
2020/7/28,18445081.25
2020/7/29,18446175
2020/7/30,18446831.25
2020/7/31,18447925
2020/8/1,18448800
2020/8/2,18449675
2020/8/3,18450550
2020/8/4,18451643.75
2020/8/5,18452300
2020/8/6,18453393.75
2020/8/7,18454275
2020/8/8,18455150
2020/8/9,18456243.75
2020/8/10,18456900
2020/8/11,18457993.75
2020/8/12,18458868.75
2020/8/13,18459962.5
2020/8/14,18460843.75
2020/8/15,18461943.75
2020/8/16,18462825
2020/8/17,18463700
2020/8/18,18464581.25
2020/8/19,18465456.25
2020/8/20,18466331.25
2020/8/21,18467206.25
2020/8/22,18468087.5
2020/8/23,18468962.5
2020/8/24,18470062.5
2020/8/25,18470725
2020/8/26,18471600
2020/8/27,18472481.25
2020/8/28,18473581.25
2020/8/29,18474456.25
2020/8/30,18475112.5
2020/8/31,18476212.5
2020/9/1,18477087.5
2020/9/2,18477968.75
2020/9/3,18478843.75
2020/9/4,18479725
2020/9/5,18480606.25
2020/9/6,18481481.25
2020/9/7,18482587.5
2020/9/8,18483462.5
2020/9/9,18484556.25
2020/9/10,18485431.25
2020/9/11,18486312.5
2020/9/12,18487412.5
2020/9/13,18488506.25
2020/9/14,18489606.25
2020/9/15,18490481.25
2020/9/16,18491356.25
2020/9/17,18492450
2020/9/18,18493543.75
2020/9/19,18494418.75
2020/9/20,18495512.5
2020/9/21,18496387.5
2020/9/22,18497043.75
2020/9/23,18497918.75
2020/9/24,18498793.75
2020/9/25,18499912.5
2020/9/26,18500793.75
2020/9/27,18501900
2020/9/28,18502556.25
2020/9/29,18503437.5
2020/9/30,18504531.25
2020/10/1,18505187.5
2020/10/2,18506062.5
2020/10/3,18506943.75
2020/10/4,18508037.5
2020/10/5,18508925
2020/10/6,18509806.25
2020/10/7,18510681.25
2020/10/8,18511562.5
2020/10/9,18512656.25
2020/10/10,18513537.5
2020/10/11,18514418.75
2020/10/12,18515293.75
2020/10/13,18516393.75
2020/10/14,18517275
2020/10/15,18518156.25
2020/10/16,18519031.25
2020/10/17,18520131.25
2020/10/18,18520787.5
2020/10/19,18521668.75
2020/10/20,18522543.75
2020/10/21,18523425
2020/10/22,18524312.5
2020/10/23,18524975
2020/10/24,18526075
2020/10/25,18526731.25
2020/10/26,18527387.5
2020/10/27,18528043.75
2020/10/28,18528700
2020/10/29,18529356.25
2020/10/30,18530012.5
2020/10/31,18530668.75
2020/11/1,18531550
2020/11/2,18532206.25
2020/11/3,18533081.25
2020/11/4,18533956.25
2020/11/5,18534862.5
2020/11/6,18535743.75
2020/11/7,18536837.5
